Year,Contribution,Source,,,
2007,350000,Elbaz Family Foundation,,,
2008,400000,Elbaz Family Foundation,,,
2009,0,Elbaz Family Foundation,,,
2010,275000,Elbaz Family Foundation,,,
2011,300000,Elbaz Family Foundation,,,
2012,237540,Elbaz Family Foundation,,,
2013,250000,Elbaz Family Foundation,,,
2014,347500,Elbaz Family Foundation,,,
2015,250000,Elbaz Family Foundation,,,
2016,250000,Elbaz Family Foundation,,,
2017,200000,Elbaz Family Foundation,,,
2018,170000,Elbaz Family Foundation,,,
2019,160000,Elbaz Family Foundation,,,
2013,120000,Microsoft Corporation,,,
2014,35000,Microsoft Corporation,,,
2020,75000,Elbaz Family Foundation,,,
2021,330000,Elbaz Family Foundation,,,
2022,450000,Elbaz Family Foundation,,,
