Title	Author(s)
2001: A Space Odyssey	Arthur C. Clarke
A Breath of Snow and Ashes	Diana Gabaldon
A Concise History of Modern Painting	Herbert Read
A General's Life: An Autobiography	Omar N. Bradley
A Guide to Drawing	Daniel M. Mendelowitz
A Hero for Our Time	Ralph G. Martin
A History of Private Life: From Pagan Rome to Byzantium	Paul Veyne (editor)
A Jefferson Profile: As Revealed in His Letters	Edwin Morris Betts (editor)
A Little Life	Hanya Yanagihara
A Most Wanted Man	John le Carré
A Short History of Painting	[unknown author]
A Step from Heaven	An Na
Advent of Modernism: Post Impressionism & North American Art	"Peter Morrin, Judith Zilczer, and William C. Agee"
Albrecht Durer Drawings and Water Colors	Edmund Schilling
All Other Nights	Dara Horn
All the Light We Cannot See: A Novel	Anthony Doerr
Amatka	Karin Tidbeck
American Art of the 20th Century	Sam Hunter and John Jacobus
American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road	Nick Bilton
American Landscape Painting	Wolfgang Born
American Painting: History and Interpretation	Virgil Barker
American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer	Kai Bird and Martin J. Sherwin
An Echo in the Bone	Diana Gabaldon
"Ancient World in Your Pocket: Over 3,000 Essential Facts Hardcover"	Paul Bahn
Antifragile	Nassim Nicholas Taleb
"Art Treasures in Russia: Monuments, Masterpieces, Commissions and Collections"	Prince Dimitri Obolensky
Art in Every Day Life	Harriet and Vetta Goldstein (Fourth Edition)
Art of Asia	Helen Rubissow
ArtTalk	Rosalind Ragans
Artificial Intelligence and the Human Mind: A Radical New Old Science of the Human Mind	B. K.
Asylum	Patrick McGrath
Atlas of Medieval Europe	[unknown author]
Bad Blood: Secrets and Lies in a Silicon Valley Startup	John Carreyrou
Ball Four: My Life and Hard Times Throwing the Knuckleball in the Big Leagues	Jim Bouton
Between Sittings: An informal autobiography of Jo Davidson	Jo Davidson
Biographic Hemingway	Sophie Collins
Birdscape	Robert Burton and Bruce Pearson
Bloodmoney: A Novel of Espionage	David Ignatius
Born a Crime: Stories from a South African Childhood	Trevor Noah
Carpaccio: Paintings and Drawings: Complete Edition	Jan Lauts
Charles Whistler's Omnium Gatherum	Philip Godlee (Penguin Books)
Children of the Lamp: The Eye of the Forest	P. B. Kerr
Chronicle of the World	Jerome Burne
Cosmos	Carl Sagan
Crucial Conversations: Tools for Talking When Stakes Are High	"Kerry Patterson, Joseph Grenny, Ron McMillan, and Al Switzler"
Cryptonomicon	Neal Stephenson
David Copperfield	Charles Dickens
Do Androids Dream of Electric Sheep?	Philip K. Dick
Downbelow Station	C. J. Cherryh
Dragonfly in Amber	Diana Gabaldon
Drums of Autumn	Diana Gabaldon
Dune	Frank Herbert
Eight Famous Elizabethan Plays (Modern Library)	[unknown author]
Elizabeth and Mary	Jane Dunn
Encyclopedia of Exploration	Ray Howgego
Ender's Game	Orson Scott Card
Endgame	John Mauldin and Jonathan Tepper
Endurance: Shackleton's Incredible Voyage	Alfred Lansing
Etruscans: Italy's Lovers of Life	Dale M. Brown
Eve & Adam	Michael Grant and Katherine Applegate
Everlasting	Alyson Noel
Fear Nothing	Dean Koontz
Fellside	M. R. Carey
Ficciones	Jorge Luis Borges
Firefly: Big Damn Hero	James Lovegrove
Firefly: Generations	Tim Lebbon
Firefly: Life Signs	James Lovegrove
Firefly: The Ghost Machine	James Lovegrove
Firefly: The Magnificent Nine	James Lovegrove
